country,name,description
belgium,AML Clinical Services,"AML Clinical Services provides focused clinical research services to pharmaceutical, medical device and biotechnology companies, contract research organisations (CROs) and research sites.A dedicated team of qualified research professionals is available to assist in any stage of the conduct of clinical trials, in any therapeutic area. We have experience in pre-marketing as well as late phase and post-marketing trials.AML retains a small-scaled organization to guarantee close oversight, commitment, loyalty and low turnover. Our employees are valued for their high experience, knowledge, flexibility and dedication to their responsibilities "
belgium,Clindatrix,"ClinDatrix, Inc. is a privately held, full-service CRO founded in 2002 to help drug and medical device innovators advance their therapeutic products toward regulatory approval.Over the past decade, ClinDatrix has grown to offer contract research expertise from preclinical development guidance through regulatory filings and post-marketing studies. We continue to work primarily with small to mid-sized companies, a subset of innovators we know and serve very well. We also are a reliable resource to large pharma and medical device companies seeking to outsource specialized tasks for timely completion.ClinDatrix is committed to providing world class, full service clinical research capabilities to the biotechnology, medical device and pharmaceutical industries.Partnering with our clients, we use a personalized approach to apply knowledge and experience to the goals of managing, monitoring, collecting, validating, analyzing, reporting and delivering quality clinical data with efficiency and accuracy.Known for quality, integrity, flexibility, knowledge and experience, ClinDatrix is a trusted service provider in clinical research, medical safety, data management, statistical analyses, regulatory affairs and quality assurance. ClinDatrix has established a strong reputation as a CRO made up of committed professionals who understand the technical requirements, business considerations and regulatory parameters of the pharmaceutical, biotechnology and medical device industries. Moreover, we combine teamwork and efficiency with a single-minded focus on customer satisfaction to address each of our client's specific needs.ClinDatrix hires and engages clinical, medical safety, data, statistical and regulatory personnel who are technically and clinically knowledgeable and who have relevant, hands-on experience in clinical product development. As a result, the ClinDatrix team offers broad experience from across the biotechnology, pharmaceutical and medical device industries.Our skilled and talented team members are among the finest of CRO practitioners. They use best practices to achieve successful results for clinical investigations of all levels of size, complexity and scope. Beyond being leaders in their respective disciplines, our personnel are trained in ClinDatrix systems and processes and cross-trained in other functions to enhance their overall knowledge and experience of the clinical development process. "
belgium,CLINICAL SUPPLIES MANAGEMENT HOLDINGS,"Since 1997, our revolutionary customer-centric approach provides innovative solutions to meet the complex clinical supply challenges that pharmaceutical and biotechnology companies face. CSM is committed to the advancement of your clinical trials; over 50% of the trials we support are multi-national. CSM manages the clinical supply chain for hundreds of satisfied clients worldwide, providing services that keep clinical trials on time and on budget regardless of their size and scope.In addition to offering a full suite of cGMP-compliant services, CSM’s now combines Clinigen’s supply and distribution networks. This gives our customers the choice of a combined end-to-end offer that supports the full life-cycle of a medicine. From Phase I to Phase III projects; from clinical trials to unlicensed to licensed. Our processes make for state-of-the-art clinical services that increase efficiencies, reduce costs, and improve outcomes for clinical trials, continually delivering quality supplies to clinical sites and patients around the world.Some of our main clinical services include packaging and labeling, storage and global distribution, biological sample management, controlled drug services, clinical supplies consulting, returns, reconciliation and destruction. In 2001, we introduced the On-Demand platform, a new way of packaging and labeling clinical trial materials (CTM) for a specific subject or block of subjects upon request. CSM has pioneered the Direct-to-Patient service; a highly customizable solution catered per the patient, per protocol. "
belgium,Clinlogix,"Clinlogix provides the clinical, operational, regulatory, and niche therapeutic expertise — along with the passion, innovative spirit, and intellectual drive — that you need to fulfill the promise of your product. As drugs, devices, diagnostics, and health technologies intersect in new ways, we are uniquely positioned to support increasingly complex development programs.With locations worldwide and access to meticulously vetted investigators, sites, and clinical monitors, we will help you drive an innovative product development program wherever you need it to happen. We guide effective, efficient clinical development in both established and emerging markets.Moreover, our world-class regulatory guidance ensures you follow an ideal regulatory pathway, whether you have a novel product or need to reach a unique combination of markets. "
brazil,Activa Cro,"Activa Cro is a Regional Contract Research Organization operating in Latin America (South American Cro), that provides clinical research services to the pharmaceutical , biotechnology and medical device/diagnostic industry in Argentina, Brazil, Chile, Colombia, México, Panama, Perú, Ecuador and Uruguay. "
brazil,Emerson Resources,"Delivering formulation development solutions, CGMP manufacturing, and comprehensive analytical services to efficiently navigate the drug development process. "
brazil,Syneos Health,Syneos Health conducts clinical studies for pharmaceutical companies in virtually all therapeutic areas. These generally aim to assess the extent of the body’s absorption and elimination of a drug to determine its safety for use in humans. 
bulgaria,Blue Sky BioServices,"Blue Sky BioServices, founded in 2003 to serve the Boston area life sciences research hub, is now the leading Contract Research Organization (CRO) providing Gene through Screen services to the global biotech, pharma, and academic R&D market. Our customers enhance the quality and speed of their research by partnering with Blue Sky to receive world class services including; gene synthesis and bulk plasmid preparations, antibody cloning, scale-up production of recombinant proteins in multiple cell lines including mammalian, insect, bacterial and yeast, as well as antibody/protein purification and assay services such as cytotoxicity and qPCR.Blue Sky differentiates itself with its team of experienced researchers, cutting edge process technology, and state-of-the-art laboratory facilities. Our commitment to scientific expertise and value has transformed the company into a center of excellence with unmatched quality and turnaround times. "
bulgaria,Commonwealth Biotechnologies,"Commonwealth Biotechnologies, Inc., was founded in 1992 to provide sophisticated research and development support services on a fee-for-service basis to the global biotechnology and pharmaceutical industry. Since 2004, CBI has pursued a strategy of acquiring or merging with complementary companies that extend its drug discovery capabilities and earnings potential. "
bulgaria,Coronis Research SA,"Entering the market 20 years ago, we had the vision of becoming a Contract Research Organization (CRO) that would contribute -through the provision of quality research services- to the delivery of life-changing therapies to patients worldwide. Through the long journey that followed, giving us the opportunity to explore in depth the demanding drug development process, we realized that the clinical research is only one among the many inseparably linked steps through which a product comes into market. What guarantees a product's successful entry into the market is the flawless and perfect coordination of all development stages.This was the time-point we took the decision of becoming something more than a clinical research provider. We decided to become our clients’ trustful business partner and help them effectively combine their own means, knowledge and experience with our clinical research and commercialization capabilities under the roof of the most advanced science, business and data technologies. After this decision we are a little step closer to our initial goal:Now we can ensure than no obstacle will break the course of a promising treatment toward the patient.Operating for more than two decades in Greece and Cyprus, CORONIS has been delivering a full spectrum of services to national and international pharmaceutical, biotechnology and medical device industries and other healthcare-related organisations. "
bulgaria,Versagenics,"For over 25 years, Versagenics staff have been leading innovators in the CRO industry. Our services allow clients to be proactive in managing their clinical development programs while maintaining constant and consistent contacts for all project related matters. We are clinical trial specialists and offer many advantages including:Significant expertise in a broad range of therapeutic areas covering a wide spectrum of diseases.Placement of our managers as consultants to provide you with a constant and consistent contact for project related matters. We frequently serve as your institutional memory! "
canada,Allphase Clinical Research,"Allphase Clinical Research is a full-service, progressive, Contract Research Organization (CRO) providing high quality clinical development strategy and management services for early-stage to post-market programs.Allphase was founded with the mandate to become a highly trusted development partner providing intelligent, comprehensive and cost efficient options, and the highest quality product. We have achieved this through careful project team selection, a robust infrastructure, and a comprehensive understanding of the needs of our clients.Therapeutic product development is risky business, but much of the risk can be averted by selecting development partners that provide expert-level knowledge, experience, strategy, and support, and of course, who have a track record of success. Allphase is dedicated to reducing the risks associated with therapeutic product development while enhancing the impact of marketed therapeutics.Our highly effective team members are experts in drug development, regulatory requirements, and clinical trial management and have an unparalleled track record of success. Allphase is known throughout the industry for Exceeding Your Expectations "
canada,Atuka Ltd,"We provide contract research and consultancy services to aid the development of novel therapeutics and diagnostics for Parkinson’s disease. We also offer a range of fine chemicals and reagents specific for use in pre-clinical PD modeling.Atuka Inc. comprises a group of Ph.D. qualified Scientists with considerable experience in the field of translation of therapeutic molecules for Parkinson’s disease.Atuka Ltd. was founded in 2003 by Dr. Jonathan Brotchie, an expert in the field of Parkinson’s disease. Dr Brotchie, along with Dr Hill and Mr Sefton, were co-founders of Atuka Inc., which was incorporated in 2011. Atuka operates over multiple sites in Canada and China and is affiliated with University Health Network which has an equity stake in Atuka. "
canada,BioRASI Clinical Research,"Biorasi builds partnerships with our sponsors. Your challenge is our challenge. We identify with your unique needs and leverage our systems, methodologies, and processes to design optimal solutions specifically for your trial.Biorasi provides solutions that aren’t just valid today – they are built to move sponsor trials forward no matter what the future issues may be. We prepare for what comes next, whether it be regulation, technology, trial design, challenges, or complexities. We anticipate the roadblocks and can promise that we will move your trials forward over any obstacle through our partnership. Biorasi has architected a set of systems, methodologies, and processes that allow us to be attentive, responsive, and results-oriented that outperform CRO Industry Standards. "
canada,Biovantix,"Biovantix Ltd. is a Contract Research Organization (CRO) based in Bulgaria and specialized in providing customer service in all aspects of pharmaceutical development programs for pharmaceutical and biotechnology companies developing drugs, medical devices and other pharmaceutical products.We have experience in the following areas of medical knowledge: Cardio-Vascular Diseases, Endocrinology, CNS, Oncology, Allergy/Asthma, Gastroenterology, Infectious Diseases, Obstetrics and Gynecology, Rheumatology, Urology, Hematology, Orthopedics and Traumatology, Pediatrics, Nephrology, etc.Our experience and excellent feed back from Customers and investigators in those therapeutic areas is our advantage for conducting Clinical Trials in Bulgaria. "
canada,Bright Pharmaceutical Services,"Bright Pharmaceutical Services is a privately-held full-service Contract Research Organization that was founded in 2002. Our clients range from small startups to the largest pharmaceutical, device and biotech companies, as well as government entities. Research trials across the spectrum of therapeutic areas and development stages are supported with full service or a la carte plans.Headquartered in Los Angeles, California, Bright Pharmaceutical Services works globally to service our clients. "
canada,Catalyst Clinical Services,"Catalyst Clinical Services Pvt. Ltd. is a Contract Research Organization that acts as a strategic partner to the healthcare organizations (Pharma/Biotech companies, Research and Academic Institutions) making them winner by building on their core competence and empowering them to counter threats. The primary focus area is Clinical Trials Management and Execution, Medical Writing, Independent Auditing and Clinical Research Training.With regards to clinical research and pharmacovigilance training, Catalyst has made pioneering initiatives and has established itself as India's largest clinical research and pharmacovigilance training providers both in terms of numbers as well as geographical reach. The contract clinical research services of Catalyst have been widely appreciated by the key stakeholders at National as well as International level.Our key strengths include service excellence, total quality management, strict adherence and compliance to GCP guidelines, cost effectiveness and thorough understanding of local and global regulatory policies and processes. "
chile,Activa Cro,"Activa Cro is a Regional Contract Research Organization operating in Latin America (South American Cro), that provides clinical research services to the pharmaceutical , biotechnology and medical device/diagnostic industry in Argentina, Brazil, Chile, Colombia, México, Panama, Perú, Ecuador and Uruguay. "
chile,Ethica Clinical,"Ethica CRO Inc. is a full-service Contract Research Organization (CRO) that conducts and manages ethical clinical research on drugs, biologics, medical devices and natural health products. "
china,Aastrom Research International,"Astrom Research International (ARI) is a CRO and specialised consultancy focusing exclusively on the Chinese market. We turn to Western companies in the Life Science sector intending to conduct clinical research or set up operations in China.The strength of ARI lies in the combination of vast experience within clinical trials management, an extensive local contact network and cultural insight. All parts necessary to perform clinical research in China.We operate through a network of high quality university hospitals in all major Chinese cities and work cooperatively with key regulatory authorities on both provincial and national level.ARI has concluded agreements with multiple major hospitals in China in specified areas of cooperation. These agreements cover areas such as International Clinical M/C Trials in Chinese hospitals, GCP Training of Investigators and site Monitors, and Organisation of Conferences and Seminars in EU, US and China. "
china,ACM Global Laboratories,"Since 1975, ACM Global Laboratories has been a recognized leader in both medical diagnostic and global clinical trial testing services. With wholly owned facilities in New York, England, Shanghai China, Mumbai India and Singapore, we operate in more than 65 countries around the globe. Our full-time staff of laboratory experts performs more than 30 million tests annually, spanning all medical disciplines including pathology, microbiology, molecular diagnostics, toxicology and more. "
china,Acrovan,"ACROVAN, a global, drug development services company, provides a comprehensive range of services to the pharmaceutical, biotechnology, generic drug industries. ACROVAN offers clinical development solutions including consulting services, Phase I clinical studies, bioequivalency and pharmacodynamic studies, bioanalytical analyses, and Phase II, III, clinical development programs. In addition, ACROVAN has developed technology tools for managing clinical trial data.ACROVAN provides a positive outsourcing experience through the carefully managed application of industry expertise and effective management of client relationships. "
china,Biocult BV (The Netherlands),"Biocult is an internationally operating company with 20 years experience in upscaling of monoclonal antibodies. Since Biocult was established in 1992, we have processed over 200 different cell lines including hybridoma’s, transfectoma’s. BHK, CHO and PerC6 cells. Biocult is a flexible company which always respond quickly to your needs and the production of our products is guaranteed by our NEN-EN-ISO 9001:2008 quality system. "
china,EAG Laboratories,"Leveraging Science and Engineering to Accelerate InnovationWhen it comes to understanding the physical structure, chemical properties and performance of advanced materials and integrated circuitry, no other scientific services company offers the breadth of experience, diversity of analytical techniques or technical ingenuity of EAG Laboratories. We deliver multi-disciplinary, problem-solving expertise to help our customers accelerate innovation, ensure quality and safety, and protect intellectual property.The world is experiencing a powerful and rapid convergence of science, technology and commerce. Great scientific minds are driving awe-inspiring commercial initiatives, and companies around the globe are seeking the insight and competitive advantage that advanced science can provide. EAG is at the forefront of this revolution–one that is changing the way products are developed, designed, manufactured and used by millions of people around the planet.Whether you are seeking to speed time-to-market, solve manufacturing problems or ensure regulatory compliance, turn to EAG. We know how to bring the power of science to every phase of your product lifecycle. "
china,Envigo,"Envigo provides mission-critical products and research services for pharmaceutical, crop protection, and chemical companies as well as universities, governments, and other research organizations. Our company is founded on the principle that research partnerships depend on unmatched expertise, unwavering dedication to customer service and shared goals, Envigo is committed to helping customers realize the full potential of their products and research which contribute to enhancing the lives of people and animals as well as protecting the environment. "
china,Global Drug Development Experts (GDDE),"Global Drug Development (GDD) Experts is the Site Management Organization (SMO) of choice in India. GDD is a US-based company, and brings global expertise in quality assurance and patient enrollment to the Indian SMO market. Unmatched in therapeutic and operational expertise, GDD is committed to our clients' success. We serve global pharmaceutical, CRO, biotechnology and medical device companies across all clinical trial phases. Our clients demand, and we deliver, world-class results in both Quality and Speed of Enrollment. "
colombia,Activa Cro,"Activa Cro is a Regional Contract Research Organization operating in Latin America (South American Cro), that provides clinical research services to the pharmaceutical , biotechnology and medical device/diagnostic industry in Argentina, Brazil, Chile, Colombia, México, Panama, Perú, Ecuador and Uruguay. "
colombia,Applied Healthcare Resource Management (AHRM),"AHRM Inc. is a full service Contract Research Organization (CRO) with a focus in Health Outcomes and Health Economics Research. By providing the ability to integrate both clinical and economic research into one protocol or study, AHRM Inc. can support FDA, Health Authority and Payor requirements typically in the same study protocol during the health technology development period for pharmaceuticals and medical devices.For pharmaceuticals or devices already approved, Applied Healthcare Research Management Inc. can provide extensive guidance and support to develop, implement and manage trials in North America and Europe, or leverage existing data to develop and publish economic models targeted at payors or to support reimbursement.Located at the New York State Center of Excellence in Bioinformatics & Life Sciences (COE) building since 2008, Applied Healthcare Research Management Inc. has built a positive reputation with clients based on performance, professionalism and cost efficient execution of both Clinical Trial and Outcomes Research engagements. AHRM Inc. has conducted both clinical and outcomes research across most major therapeutic categories in North America, Europe and Latin America. "
colombia,Clinlogix,"Clinlogix provides the clinical, operational, regulatory, and niche therapeutic expertise — along with the passion, innovative spirit, and intellectual drive — that you need to fulfill the promise of your product. As drugs, devices, diagnostics, and health technologies intersect in new ways, we are uniquely positioned to support increasingly complex development programs.With locations worldwide and access to meticulously vetted investigators, sites, and clinical monitors, we will help you drive an innovative product development program wherever you need it to happen. We guide effective, efficient clinical development in both established and emerging markets.Moreover, our world-class regulatory guidance ensures you follow an ideal regulatory pathway, whether you have a novel product or need to reach a unique combination of markets. "
colombia,Covance,"Covance Inc., a global contract research organization (CRO), is the world’s most comprehensive drug development company.Covance Inc., the drug development business of LabCorp®, is the world’s most comprehensive drug development company, dedicated to advancing healthcare and delivering Solutions Made Real®. Our unique perspectives, built from decades of scientific expertise and precision delivery of the largest volume of drug development data in the world, along with our innovative technology solutions, help our clients identify new approaches and anticipate tomorrow’s challenges as they evolve. Together with our clients, Covance transforms today’s healthcare challenges into tomorrow’s solutions. We also offer laboratory testing services to the chemical/agrochemical industries and are a market leader in toxicology services, central laboratory services, discovery services and a top global provider of Phase III clinical trial management services. "
colombia,EAG Laboratories,"Leveraging Science and Engineering to Accelerate InnovationWhen it comes to understanding the physical structure, chemical properties and performance of advanced materials and integrated circuitry, no other scientific services company offers the breadth of experience, diversity of analytical techniques or technical ingenuity of EAG Laboratories. We deliver multi-disciplinary, problem-solving expertise to help our customers accelerate innovation, ensure quality and safety, and protect intellectual property.The world is experiencing a powerful and rapid convergence of science, technology and commerce. Great scientific minds are driving awe-inspiring commercial initiatives, and companies around the globe are seeking the insight and competitive advantage that advanced science can provide. EAG is at the forefront of this revolution–one that is changing the way products are developed, designed, manufactured and used by millions of people around the planet.Whether you are seeking to speed time-to-market, solve manufacturing problems or ensure regulatory compliance, turn to EAG. We know how to bring the power of science to every phase of your product lifecycle. "
colombia,Kemwell Biopharma,"Kemwell is a contract biologics development and CMO company providing services to global biopharmaceutical organizations. Kemwell facilities, located in Bangalore, India, are designed and developed with technological support from a leading German pharma company. Kemwell provides customers with cost-effective access to state-of-the-art technology for all mammalian cell culture based products’ development and manufacturing. "
croatia,Altiora,"Altiora is a mid-sized Contract Research Organisation (CRO), driven by successful organic growth.• has been developing its expertise for almost 20 years, working on local and large international projects in the EU countries.• has a team comprised of trained and experienced professionals, focused on providing high quality services, without the high fixed costs of a conventional large full service CRO.• provides a comprehensive array of clinical trial management services. Our expertise includes the following services:- Medical Writing- Medical Affairs- Clinical Operations- Regulatory Affairs- Pharmacovigilance- Quality Assurance & Training- Technology- ConsultationsALLIANCES- Data Management- Central ECG & Respiratory reading- Central Lab- ePRO- Pre-clinical Research Modelling, Chemistry, Bio-analysis and Toxicology "
croatia,Commonwealth Biotechnologies,"Commonwealth Biotechnologies, Inc., was founded in 1992 to provide sophisticated research and development support services on a fee-for-service basis to the global biotechnology and pharmaceutical industry. Since 2004, CBI has pursued a strategy of acquiring or merging with complementary companies that extend its drug discovery capabilities and earnings potential. "
croatia,Prodia The CRO,"Prodia the CRO is a Contract Research Organization (CRO) based in Indonesia which provides GCP-based Clinical Trial supports through our integrated and wide range of services.Prodia the CRO has accumulated many experiences providing services to local as well as multinational companies with commitment to reach quality through qualified and dedicated resources. It provides customers in GCP trials with competitive cost, firm timeliness, high compliance to ICH-GCP guidelines. "
croatia,The Siesta Group,"The Siesta Group is a comprehensive service provider supporting the measurement of sleep, wakefulness and brain activity in clinical trials and research in the CNS field. This encompasses, among others, high quality services concerning polysomnography (PSG), pharmaco-electroencephalography (pharmaco-EEG), event-related potentials (ERP) and actigraphy.Our services range from consultation, site selection, site training, centralized data scoring and analysis, data quality control, to device rentals. Innovative software technology, secure data transfer, state-of-the-art scientific know-how, and flexible processes, all compliant with ICH-GCP and other regulation, ensure the best possible endpoints in measuring sleep, wake and brain activity in your trial.The Siesta Group is the developer of Somnolyzer 24x7, the world's most reliable and valid tool for computer-assisted sleep scoring for clinical and diagnostic purposes.The use of Somnolyzer 24x7 and its related EEG analysis tools in your clinical trial ensures a quality of endpoints unsurpassed by other providers in the field. "
