country,name,description
norway,Source BioScience Limited,"Source BioScience Limited is an international provider of integrated state of the art Laboratory Services and Products. Headquartered in the UK, with offices in UK, Europe and the USA, Source BioScience is privately held, having been acquired through a public to private transaction led by majority shareholders Harwood Capital LLP and Continental Investment Partners in September of 2016. Source BioScience PLC, was de-listed from the London Stock Exchange upon acquisition. "
pakistan,Clinimetrics,"Clinimetrics is a methodological discipline with a focus on the quality of measurements in medical research and clinical practice. The quality of measurements includes both the quality of the measurement instruments and the quality of the performance of the actual measurementsThe clinimetrics group consists of a group of excellent and very active researchers in the field of Clinimetrics. Their activities are embedded in the Knowledgecenter Measurement Instruments of the VU University Medical Center, and in the Section Measurement of the Department of Epidemiology & Biostatistics, Vu University Medical Center, Amsterdam. The Clinimetrics group was founded in 2002 with the appointment of Henrica C.W. de Vet as Professor in Clinimetrics. "
pakistan,Dishman Group,"Dishman is the global outsourcing partner for the pharmaceutical industry offering a portfolio of development, scale-up and manufacturing services.The products and services offered span customers’ needs from chemical development to commercial manufacture and supply of active pharmaceutical ingredients.Dishman has a relationship driven business model that improves its customers businesses by providing a range of solutions at locations in Europe, China and India. Our offer delivers the best of both worlds:western expertise in speed, flexibility, innovation and rapid material provision,new world expertise in process optimisation, robust large scale processes and secure economic commercial supply.Our commitment is to deliver cost-competitive technical excellence and to be a reliable partner to our customers, protecting their interests as if they were our own.Dishman is headquartered in Ahmedabad, India and is listed on the Bombay Stock Exchange Ltd. (BSE) and The National Stock Exchange of India Limited (NSE). "
peru,Aclires,"ACLIRES International Ltd. is a full-service specialty CRO with GCP-certified clinical units in Thailand and Latin America. ACLIRES primary CRO services consist of medical writing, regulatory support, project management and patient recruitment, conduct of First in Human, Phase I /II studies, site selection and site management for Phase III studies, monitoring, and clinical expert networks. ACLIRES maintains extensive patient databases providing access to special patient populations and treatment-naïve patients. ACLIRES studies and its related services are GCP-certified and fully compliant with international drug development standards and US Food and Drug Administration (FDA) and International Conference on Harmonisation (ICH) guidelines for Good Clinical Practice (GCP). The company has special expertise in infectious diseases, metabolic disorders, cardiovascular disease, oncology and CNS disorders. "
peru,Activa Cro,"Activa Cro is a Regional Contract Research Organization operating in Latin America (South American Cro), that provides clinical research services to the pharmaceutical , biotechnology and medical device/diagnostic industry in Argentina, Brazil, Chile, Colombia, México, Panama, Perú, Ecuador and Uruguay. "
philippines,Clinlogix,"Clinlogix provides the clinical, operational, regulatory, and niche therapeutic expertise — along with the passion, innovative spirit, and intellectual drive — that you need to fulfill the promise of your product. As drugs, devices, diagnostics, and health technologies intersect in new ways, we are uniquely positioned to support increasingly complex development programs.With locations worldwide and access to meticulously vetted investigators, sites, and clinical monitors, we will help you drive an innovative product development program wherever you need it to happen. We guide effective, efficient clinical development in both established and emerging markets.Moreover, our world-class regulatory guidance ensures you follow an ideal regulatory pathway, whether you have a novel product or need to reach a unique combination of markets. "
poland,Bioclinica,"Bioclinica utilizes science and technology to bring CLARITY to clinical trials: helping companies to develop new life-improving therapies more EFFICIENTLY and SAFELY.Solution development and service delivery are driven by unmatched scientific expertise.We work with sponsors and CROs across all industries, phases, and sizes. Bioclinica scales to the situation.Not a traditional software company – Bioclinica is a technology-enabled service provider. "
poland,Helix3 Inc,"The Helix3 team has been consistently working together since 1994 developing new methods and conducting GLP studies for regulatory submissions.  We are committed to providing innovative solutions with an unmatched focus on quality, flexibility and attention to detail. "
poland,Kemwell Biopharma,"Kemwell is a contract biologics development and CMO company providing services to global biopharmaceutical organizations. Kemwell facilities, located in Bangalore, India, are designed and developed with technological support from a leading German pharma company. Kemwell provides customers with cost-effective access to state-of-the-art technology for all mammalian cell culture based products’ development and manufacturing. "
poland,MakroCare,"MakroCare is expert strategic development and commercialization global partner for pharmaceutical, biotechnology and medical device industries. Our experience, programs and processes bring a new dimension to development strategy, regulatory/risk planning & management, clinical research, medical/scientific support and emerging region expansion. "
poland,Mapi Research Trust,"Mapi Research Trust promotes scientific approaches in the PCO field and encourages exchanges between academics, pharmaceutical companies, and international organisations around the world in the service of incorporating the patient’s voice into every step of the development process of new treatments.For nearly two decades Mapi Research Trust has been a direct contributor to nearly every translational science research program incorporating PCO. We offer free and subsidized access to thousands of independent and academic research programs in over 130 countries every year. In this manner Mapi Research Trust contributes some 4 M€ a year in services that support academic research focusing on the improvement of patients’ lives. "
poland,NCGS Labratories,"NCGS INCORPORATED, FOUNDED IN 1984, IS INTERNATIONAL, FULL-SERVICE CRO THAT SPECIALIZES IN CONDUCTING AND MANAGING CLINICAL TRIALS "
poland,Noblewell,"Noblewell is a medium size CRO company. We primarily operate in CEE (Central and Eastern European) region of the European Union, thus enabling our clients to access millions of potential subjects. "
romania,CMIC Group,CMIC Group pioneered the CRO business in Japan over 28 years ago. Since then CMIC has continued as a leading innovator in the industry and has expanded services to encompass the entire pharmaceutical value-chain. We pride ourselves on meeting customers where they are and with exactly what they need to move their products forward. CMIC is an innovative and unique provider of high-quality solutions for the healthcare industry. We create value by accelerating the access to therapies that improve patients’ lives. To advance the innovation of products and solutions that will empower people worldwide to achieve greater health and well-being. 
romania,Commonwealth Biotechnologies,"Commonwealth Biotechnologies, Inc., was founded in 1992 to provide sophisticated research and development support services on a fee-for-service basis to the global biotechnology and pharmaceutical industry. Since 2004, CBI has pursued a strategy of acquiring or merging with complementary companies that extend its drug discovery capabilities and earnings potential. "
romania,Covance,"Covance Inc., a global contract research organization (CRO), is the world’s most comprehensive drug development company.Covance Inc., the drug development business of LabCorp®, is the world’s most comprehensive drug development company, dedicated to advancing healthcare and delivering Solutions Made Real®. Our unique perspectives, built from decades of scientific expertise and precision delivery of the largest volume of drug development data in the world, along with our innovative technology solutions, help our clients identify new approaches and anticipate tomorrow’s challenges as they evolve. Together with our clients, Covance transforms today’s healthcare challenges into tomorrow’s solutions. We also offer laboratory testing services to the chemical/agrochemical industries and are a market leader in toxicology services, central laboratory services, discovery services and a top global provider of Phase III clinical trial management services. "
romania,Noblewell,"Noblewell is a medium size CRO company. We primarily operate in CEE (Central and Eastern European) region of the European Union, thus enabling our clients to access millions of potential subjects. "
russia,Accell Clinical Research,"We are a full-service clinical CRO with a relentless mission to complete your clinical trial on time. Backed by our strong operational strategy and leadership, a devoted team of medical professionals in each country and connections to prominent medical institutions, your clinical study will be in good, caring hands. "
russia,Avinex,"International logistics of temperature-sensitive cargoes in the field of health care and clinical research.We have been working for over 13 years and our employees have a regular training programYour shipment will be in the right place on time. We cover all expenses in case of unforeseen circumstancesWe take care of the delivery and storage of any drugs. And also provide the possibility of insuranceEach employee works in such a way as to satisfy any client's wishes. This is our corporate policyWe will receive permission to start the study and destroy the drug at the end of the projectIn 24 hours we will deliver from any city to any city of the RF with preservation of a temperature modeWe do not work with intermediaries, for such a long period of work we cooperate only with direct manufacturers or suppliers. Therefore, our prices are the most favorableOur declarants has experience with clinical goods for more than 20 years, which allows us to release the goods up to 24 hours with the presence of 100% postpay "
russia,BioCentrum,"BioCentrum is a privately-owned biotechnology service and product provider. BioCentrum has been established in 2004 and its mission is to create a platform for its clients and partners in order to help them translate innovative discoveries into preclinical candidates with improved chances to reach the market, in the shortest amount of time possible.BioCentrum offers a wide range of preclinical development services including ADME testing and various behavioural studies, covering all the prerequisites needed for initiation of a first administration to humans.ImageBioCentrum also offers services in the field of protein chemistry, and possesses a unique expertise and experience in production of highly purified, active enzymes, inhibitors and other biologically active recombinant proteins. Moreover the company performs contract research as well as produces mouse monoclonal antibodies on a laboratory scale.Due to our numerous associations with scientific institutions, we also offer consulting services in the area of biotechnology.Quality has allowed BioCentrum to build long lasting and successful co-operations with numerous biotechnological companies. "
russia,Biometrix,"Thank you for visiting our website, and for your interest in learning more about our company.Biometrix was founded in 1994, with the goal of providing high quality instrumentation services at a reasonable price to the biotechnology, pharmaceutical and medical devices industries of New England.Over the years we have expanded the depth and range of our expertise so that we can provide our customers with a more comprehensive service offering. Our capabilities include:On-site calibrationCalibration master plan consultingCalibration turnkey program creation and implementationCalibration staffingCommissioningValidationAutoclave cycle development consultingUser requirements specifications consultingValidation staffingWe've also expanded our geographic reach, as we now service small and large calibration and validation projects throughout North America. And for the launching of major biopharmaceutical manufacturing facilities, our commissioning team is able to travel throughout the United States and internationally. We take great pride in providing high quality equipment and systems services for the FDA-regulated environment. We understand how to provide calibration, validation and commissioning in a manner compliant with GMP and your internal quality guidelines "
russia,Clinilabs,"We are a premier full-service CRO that provides clinical development services to pharmaceutical, biotechnology, and medical device companies. Our mission is to provide high quality, prompt, and cost-effective clinical drug development services to our clients in the interest of delivering new therapeutics to those in need. "
russia,Clinimetrics,"Clinimetrics is a methodological discipline with a focus on the quality of measurements in medical research and clinical practice. The quality of measurements includes both the quality of the measurement instruments and the quality of the performance of the actual measurementsThe clinimetrics group consists of a group of excellent and very active researchers in the field of Clinimetrics. Their activities are embedded in the Knowledgecenter Measurement Instruments of the VU University Medical Center, and in the Section Measurement of the Department of Epidemiology & Biostatistics, Vu University Medical Center, Amsterdam. The Clinimetrics group was founded in 2002 with the appointment of Henrica C.W. de Vet as Professor in Clinimetrics. "
singapore,ACM Global Laboratories,"Since 1975, ACM Global Laboratories has been a recognized leader in both medical diagnostic and global clinical trial testing services. With wholly owned facilities in New York, England, Shanghai China, Mumbai India and Singapore, we operate in more than 65 countries around the globe. Our full-time staff of laboratory experts performs more than 30 million tests annually, spanning all medical disciplines including pathology, microbiology, molecular diagnostics, toxicology and more. "
singapore,Bio Reliance Corporation,"BioReliance provides testing and manufacturing services to pharmaceutical and biopharmaceutical companies that span the product cycle from early pre-clinical development to licensed production.Our goal is to advance the development and delivery of healthcare and consumer products by providing the highest quality testing, development and manufacturing services in partnership with clients worldwide.BioReliance has provided outsourced services to thousands of customers from most healthcare disciplines, including nearly all of the largest pharmaceutical, biopharmaceutical, and chemical companies in the world. BioReliance is the largest provider of safety testing services focused on the rapidly growing biologics sector of the pharmaceutical and biotechnology industries.For established biotechnology and pharmaceutical companies, outsourcing to BioReliance streamlines product development and reduces time to market. The Company also enables emerging and clinical stage companies who may lack the staff, expertise and financial resources to conduct many aspects of product development in-house.Unless otherwise stated or requested, all studies conducted by BioReliance are performed in compliance with the requirements of the UK and German GLP Regulations, the US FDA Good Laboratory Practice Regulations (21 CFR 58), the Japanese GLP Standard and the OECD Principles of Good Laboratory Practice. BioReliance is fully accredited for GLP. To date, many products licensed by the FDA, EMEA and other international agencies have been tested and validated by BioReliance.All of our studies are conducted under strict confidentiality. "
singapore,CEMO,"CEMO is a key partner for all your clinical trials and can provide you dedicated adapted logistic solutions for national and international study. According to our clients, precision, professionalism and reliability are amongst CEMO's strongest features. These values are based on the expertise of our dedicated teams of doctors, biologists and logisticians who develop flexible and adapted solutions. "
singapore,Clinlogix,"Clinlogix provides the clinical, operational, regulatory, and niche therapeutic expertise — along with the passion, innovative spirit, and intellectual drive — that you need to fulfill the promise of your product. As drugs, devices, diagnostics, and health technologies intersect in new ways, we are uniquely positioned to support increasingly complex development programs.With locations worldwide and access to meticulously vetted investigators, sites, and clinical monitors, we will help you drive an innovative product development program wherever you need it to happen. We guide effective, efficient clinical development in both established and emerging markets.Moreover, our world-class regulatory guidance ensures you follow an ideal regulatory pathway, whether you have a novel product or need to reach a unique combination of markets. "
singapore,EAG Laboratories,"Leveraging Science and Engineering to Accelerate InnovationWhen it comes to understanding the physical structure, chemical properties and performance of advanced materials and integrated circuitry, no other scientific services company offers the breadth of experience, diversity of analytical techniques or technical ingenuity of EAG Laboratories. We deliver multi-disciplinary, problem-solving expertise to help our customers accelerate innovation, ensure quality and safety, and protect intellectual property.The world is experiencing a powerful and rapid convergence of science, technology and commerce. Great scientific minds are driving awe-inspiring commercial initiatives, and companies around the globe are seeking the insight and competitive advantage that advanced science can provide. EAG is at the forefront of this revolution–one that is changing the way products are developed, designed, manufactured and used by millions of people around the planet.Whether you are seeking to speed time-to-market, solve manufacturing problems or ensure regulatory compliance, turn to EAG. We know how to bring the power of science to every phase of your product lifecycle. "
singapore,MakroCare,"MakroCare is expert strategic development and commercialization global partner for pharmaceutical, biotechnology and medical device industries. Our experience, programs and processes bring a new dimension to development strategy, regulatory/risk planning & management, clinical research, medical/scientific support and emerging region expansion. "
singapore,Omnicare,"Count on us to handle the details, so you can focus on quality care.For post-acute or senior living residents who rely on your experienced staff to help manage their medications or do it themselves we offer cost-effective, best-in-class pharmacy services that are designed to support each unique member of your community. "
slovakia,Clinitude,"Clinitude is the first Clinical Research Organisation to offer CRA Liaisons, providing cost-effective site monitoring for the medical device, biotechnology, and pharmaceutical industry. We are innovative, dynamic and your cost is our expertise. We are privately-owned Clinical Research Organisation with more than 12 years of experience effectively managing clinical trials.Since 2006, we have provided trial support services from start-up to completion, from Phase I-IV for pharmaceutical, biotechnology and, medical device studies in the following therapeutic areas: Immuno-Oncology, Oncology, Gastroenterology, Infectious Diseases, Rheumatology, Cardiology, Interventional Cardiology, Peripheral diseases, interventional oncology, Nephrology, Neurology, and Dermatology.Clinitude is headquartered in Belgium and we have locations in Singapore, the Philippines, and the United States. With our in-depth experience in Europe, the US and in several regions in Asia, we can handle the diversity and complexity in the local laws and regulatory submissions for each country.We are a fast-growing and energetic CRO, and we make your success our primary focus. Clinitude provides your company with a dedicated clinical team and we also offer adaptive trial management solutions. We have created a game-changing CRA Liaison service to meet the changing demands of complex clinical trials. Contact us to learn more. "
slovakia,Covance,"Covance Inc., a global contract research organization (CRO), is the world’s most comprehensive drug development company.Covance Inc., the drug development business of LabCorp®, is the world’s most comprehensive drug development company, dedicated to advancing healthcare and delivering Solutions Made Real®. Our unique perspectives, built from decades of scientific expertise and precision delivery of the largest volume of drug development data in the world, along with our innovative technology solutions, help our clients identify new approaches and anticipate tomorrow’s challenges as they evolve. Together with our clients, Covance transforms today’s healthcare challenges into tomorrow’s solutions. We also offer laboratory testing services to the chemical/agrochemical industries and are a market leader in toxicology services, central laboratory services, discovery services and a top global provider of Phase III clinical trial management services. "
slovakia,Noblewell,"Noblewell is a medium size CRO company. We primarily operate in CEE (Central and Eastern European) region of the European Union, thus enabling our clients to access millions of potential subjects. "
slovenia,Noblewell,"Noblewell is a medium size CRO company. We primarily operate in CEE (Central and Eastern European) region of the European Union, thus enabling our clients to access millions of potential subjects. "
